"id","question","right-answer","wrong-answer-1","wrong-answer-2","wrong-answer-3","kategorie","proposer","gemolden","reason","propose_date","proposer_time"
"580","Wie wird die Erde auch genannt?","Der blaue Planet","Die blaue Kugel","Der bewohnte Planet","Der eisige Planet","wissenschaft","26","0","none","2021-12-03","09:07:04"
"581","Welches Musikvideo auf Youtube hat die meisten Dislikes?","Despacito - Luis Fonsi/Daddy Yankee","Baby - Justin Bieber","How it is - Bibis Beauty Palace","Dame tu Cosita - ...","geschichte","26","0","none","2021-12-03","09:11:55"
"582","Warum ist Facebook blau?","Zuckerberg hat eine Rot-Grün-Schwäche","Weil es ans Meer erinnert","Weil Zuckerberg die Farbe schön fand","Einfach aus reinem Zufall","technik","26","0","none","2021-12-03","11:09:02"
"583","fasljdf?","jfashd","eine Fishermans Friend Sorte","Bianca","Maxim","technik","45","0","none","2021-12-04","15:12:55"
"584","woher ist Maxims Uhr?","Er hat sie einem Kind geklaut","Aus dem Darknet","Er hat sie gekauft","einen Kuh hat sie gekackt","cool","0","0","none","2021-12-04","15:15:07"
"585","Wer ist positiv?","Janis und Emily","Jaun","dä mädder","t Linsi","cool","39","0","none","2021-12-07","19:34:52"
"586","Wer ist entjungfert worden?","Maxim's Nase","Natalie (eh niä)","Juan","Herr Liächti","cool","39","0","none","2021-12-07","19:36:08"
"587","Wie viele Tage hat der Februar normaler weise?","28","29","30","31","sonstige","0","0","none","2021-12-08","08:58:39"
"588","Wie heisst der Amerikanische Börsenindex?","Nasdaq","Nesdaq","SMI","FLOWWRAP","sonstige","0","0","none","2021-12-13","19:41:16"
"589","Wie viele Staaten hat die USA?","50","52","39","76","geographie","0","0","none","2021-12-13","19:42:12"
"590","Wer ist der Aktuelle Präsident von den USA?","Joe Biden","Donald Trump","Martin Luther King","George Bush","geschichte","0","0","none","2021-12-13","19:43:17"
"591","Was ist der Nördlichste Kanton der Schweiz?","Schaffhausen","Jura","Basel","Tessin","geographie","0","0","none","2021-12-13","19:45:07"
"592","Wer war Charlie Chaplin?","Schauspieler","Diktator","Erfinder","Entdecker","geschichte","0","0","none","2021-12-13","19:50:40"
"593","Welcher dieser Staaten gehörte nicht zur ehemaligen Sowjet Union?","China","Russland","Ukraine","Polen","geschichte","0","0","none","2021-12-13","19:54:33"
"594","Welcher Staat der USA ist für seine Orangen bekanntq?","Kalifornien","Florida","Texas","New Mexiko","geographie","0","1","none","2021-12-13","19:57:55"
"595","Weshalb ist orange schlecht?","Weil Xenia es jeden Tag sieht.","Weil Melih es jeden Tag sieht.","Weil Robin es jeden Tag sieht.","Weil MAXIMATOR dies bestummen hat.","cool","0","0","none","2021-12-14","12:27:12"
"596","Wie lange ging der flug zum mond der apollo 11 Rakete?","3 Tage","4 Tage","22 Stunden","5 Tage","wissenschaft","58","0","none","2021-12-18","14:56:29"
"597","Welches Tier wird am meisten verspeist (Asia style)?","Hund","Südafrikanischer riesen Gecko","Arabischer Seeadler","Dreibeiniger Kiessalamander","cool","0","0","none","2021-12-21","14:15:05"
"598","Welcher Lehrer verfügt über einen geschwächten Nacken?","Herr Liechti","Herr Keller","Herr Bührer","Herr Anta Brink","cool","0","0","none","2021-12-21","14:17:12"
"599","Womit wird der Laptop am besten geschützt?","Mit einer herkömlichen Brotdose, welche am besten noch vergammelte Tomatenscheiben in sich trägt","Laptoptasche","Türkischer Feuermagnetsafe mit extra scharfen Knöpfen","Einer steinigen, rostbefreiten teamfähigen Handyhülle","cool","0","0","none","2021-12-21","14:20:21"
"600","Welcher hochbegabte Bildgestalter verwirklichte im Jahre 187 n. C. eine Statue welche den Namen Lancelot Supersad trägt?","DEROPA","Leonarda Do Vinicium","Vaginiale Membranium","Joachim Schänder der 3.","cool","0","0","none","2021-12-21","14:24:27"
"601","Mit welcher eigenartiger Flüssigkeit vermischte man im späten 18. Jahrhundert die Schweisstropfen von Kleopatra?","Mit gar nichts du wiederliches Schwein, ich verg*se deine Generation und entnehme die Niren deines noch kommenden Kindes du vom Boden aufgelesener Mehlsack mit Fischgeruch","Mit der frischen Klosterfrucht","Mit grobkörnigen Arkensenf","Mit Kaffe ähnlicher Anus Milch","cool","0","0","none","2021-12-21","14:29:36"
"602","Was ist Moschus?","Hirschduft um Weibchen anzulocken.","Route 66","trick question sie kriegt zwillinge","juan","tiere","0","0","none","2021-12-30","20:12:03"
"603","Wo war der Amerikanische Wilde Westen?","Westlich vom Missisppi","Südamerika","Kanada","Mexico","geschichte","0","0","none","2021-12-30","20:14:02"
"604","Was ist Wlan?","Wireless local area Networt","Wolf lottery antonym","Weather loan","Worthless archer network","technik","0","0","none","2021-12-30","20:16:04"
"605","Welche dieser Mondmissionen ging schiff?","Apollo 13","Apollo 11","Apollo 2","Apollo 15","geschichte","0","0","none","2021-12-30","20:17:17"
"606","Wer sagte <i>I have a dream</i>?","Martin Luther King","Barack Obama","JF Kennedy","Maozedong","geschichte","45","0","none","2021-12-30","20:22:04"
"607","Wann kam der erste Crocodile Dundee Film Heraus?","1986","1978","1990","1994","filme","45","0","none","2021-12-30","20:24:05"
"608","Welche dieser Pferde Rassen ist gefleckt?","Apaloosa","Andalusier","Lipizaner","Palomino","tiere","45","0","none","2021-12-30","20:26:58"
"609","A?","S","Samsung","Apollo 13","Apollo 11","filme","45","1","none","2021-12-30","20:28:02"
"610","Was ist Lumbago?","Hexenschuss","Herzstillstand","Knochenbruch","Haarverlust","sonstige","45","0","none","2021-12-30","20:30:51"
"611","Bei wem liegt die Beweislast?","Bei dem der die Bauhauptung macht","Beim Richer","Bei den Anwälten","Bei der Gerichtspolizei","wr_rechteinfuehrung","45","0","none","2022-01-01","11:03:36"
"612","Welcher dieser Faktoren spielt die grösste Rolle im Thema?","Recht","Sitte","Moral","Verpflichtung","wr_rechteinfuehrung","45","0","none","2022-01-01","11:09:15"
"613","Was ist Moral?","Was du für richtig hältst","Was das Recht für richtig hält","Was die Gesellschaft für richtig hält","Was deine Freunde für richtig halten","wr_rechteinfuehrung","45","0","none","2022-01-01","11:11:11"
"614","Welches gehört nicht zu den Grundpfeilern des Rechtstaatsprinzip?","Rechtsmittelbelehrung","Grundrechte Schützen","Gewaltenteilung","Legalitätsprinzip","wr_rechteinfuehrung","45","0","none","2022-01-01","11:19:05"
"615","Aus was besteht Käse?","Milch","Rahm","Butter","Äpfeln","essen","45","0","none","2022-01-01","16:43:25"
"616","Wie heisst das Label von Fat Joe?","Terror Squad","Rap Divison","Harlem Records","RocAFella","sonstige","0","0","none","2022-01-02","22:47:29"
"617","Was ist Anta Brinkisch für Ruhe?","Silenzium","Schnauze","Seit mal alle leise","""Böser Blick""","cool","39","0","none","2022-01-04","12:43:31"
"618","Welche Sportart war die erste mit einer WM?","Billard","Fussball","Handball","Cricket","sport","0","0","none","2022-01-07","17:49:27"
"619","Was ist der höchste Berg?","Mount Everrest","Mont Blanc","Monte Negro","Rock Mountains","geographie","0","0","none","2022-01-07","17:52:01"
"620","Von welcher Firma ist die Fotobearbeitungs Software Photoshop?","Adobe","Dell","Microsoft","Libre Office","technik","0","0","none","2022-01-09","11:35:56"
"622","Welches ist die Antwort auf alle Fragen der Welt?","it all depends","darum","ist so weil ist so, bleib so weil war so","weiss nicht","cool","22","0","none","2022-01-25","14:55:40"
"623","Unter welchem Namen ist die müstische Pflanze gegen Werwölfe namens Eisenhut auch bekannt?","Wolfswurz","Wolfszuge","Renatode","Aktuzent","sonstige","26","0","none","2022-01-25","14:57:00"
"624","Welches ist das beliebtestet Ton Datei Format?","MP3","MP4","WAV","FORM","technik","45","0","none","2022-02-05","10:56:15"
"625","In einem Teilchenmodell: Wie sind die Teilchen im flüssigen Aggregatszustand angeordnet?","Unstrukturiert / Dicht beieinander / bewegt sich um andere Teilchen umher","Strukturiert / Dicht beieinander / feste Platzierung","Unstrukturiert / Dicht beieinander / bewegt sich frei im Raum","Strukturiert / Dicht beieinander / bewegt sich um andere Teilchen umher","wissenschaft","30","0","none","2022-08-26","22:10:09"
